row_idx	col_idx	log2ratio
8	49	0.04152
8	50	0.0339495
8	51	0.0564305
8	52	0.0312174
8	53	0.0860121
8	54	0.0699232
8	55	0.0585182
8	56	0.0235859
8	57	0.129632
8	58	0.216158
8	59	0.0764277
8	60	0.143388
8	61	0.139184
8	62	0.360482
8	63	0.133648
8	64	0.269905
8	65	0.025356
8	66	0.1872
8	67	0.126047
8	68	0.150504
8	69	0.120634
8	70	0.156801
8	71	0.0439513
8	72	0.0957039
8	73	0.103009
8	74	0.114153
8	75	0.0493896
8	76	0.0677445
8	77	0.0366517
8	78	0.0467838
8	79	0.0176676
8	80	0.077533
8	81	0.0845506
8	82	0.165593
8	83	0.02331
8	84	0.0602665
8	85	0.0673601
8	86	0.120705
8	87	0.0205259
8	88	0.0181687
8	89	0.0535563
8	90	0.0639256
9	1	0.00943795
9	2	0.0272119
9	3	0.0901014
9	4	0.0302801
9	5	0.669903
9	6	0.521367
9	7	0.114003
9	8	0.112834
9	9	0
9	10	0.698181
9	11	0.120467
9	12	0.0760979
9	13	0.149003
9	14	0.125644
9	15	0.658216
9	16	0.574471
9	17	0.162137
9	18	0.136702
9	19	0.0321632
9	20	0.0414625
9	21	0.321817
9	22	0.340319
9	23	0.0575975
9	24	0.0802584
9	25	0.465891
9	26	0.52749
9	27	0.417863
9	28	0.404953
9	29	0.158897
9	30	0.111609
9	31	0.1681
9	32	0.167821
9	33	0.000767882
9	34	0.0142848
9	35	0.0499681
9	36	0.0765755
9	37	0.00329377
9	38	0.0154723
9	39	0.134111
9	40	0.130371
9	41	0.0236592
9	42	0.018971
9	43	0.0729862
9	44	0.0689827
9	45	0.140558
9	46	0.136975
9	47	0.0268665
9	48	0.0432374
9	49	0.167249
9	50	0.122223
9	51	0.172185
9	52	0.155533
9	53	0.119802
9	54	0.187485
9	55	0.121746
9	56	0.0993843
9	57	0.0358817
9	58	0.0326745
9	59	0.103444
9	60	0.105152
9	61	0.0541268
9	62	0.048101
9	63	0.0981195
9	64	0.0413797
9	65	0.15728
9	66	0.0966841
9	67	0.0372544
9	68	0.0556992
9	69	0.0358974
9	70	0.0477649
9	71	0.211058
9	72	0.18729
9	73	0.217119
9	74	0.0921556
9	75	0.154378
9	76	0.0536305
9	77	0.0664707
9	78	0.063997
9	79	0.147377
9	80	0.198151
9	81	0.252475
9	82	0.161425
9	83	0.139758
9	84	0.167862
9	85	0.266302
9	86	0.209904
9	87	0.184443
9	88	0.146895
9	89	0.220371
9	90	0.176819
10	1	0.00732181
